Mambae (Ainaro),Mambae (Ermera),Tetum ,Kemak (Marobo),English,Idate
Hato ,Hato,Fatuk,Hatu / Atu,Stone / Rock,hatuk
Bui,Bui,(refere ba feto),Bui,(femine prefix),bui
lico,boe,toba,bue,,bua
Tata,Tata,Avo,Tatar,Grandparent,Toko
mai,mai(?),visavo,Tatakala,Ancestors,Tokodoro
lau,mori,moris,moas,life,mori
lau,lau,tutun,laun,top,laun
dar,dar,husi,dasa,from,osi
huitgau,huitasu,fatuk ahuruin,aturuin,lymestone,hatu-waur
gau,gau,ahu,rapo,lyme,waur
duk,duk,taka,oga (its) / taka (not its),to cover,douk
rae,rea,rai,rae,land,larek
aos,kasa,koto,papa,bean,aso kasa
Ur,ura,sanan,ura,pot,ura
rom,ro,sira,ro / romo,they,sira
ura,ua,nia,ua,he/her,ni
ro,atuba,ema,atamas,people,nain
nei,nei,iha,dia,have,lak
eot,ko,hare,nae,see,awa'a
ko,sgo,subar,bobo,hide,soko
rema,man,tetuk,reman,flat,tulak
pun rema,pun rema,halo tetuk,taureman,to flatten,
